date,EX5.MELT_TEMP,EX4.MELT_TEMP,EX3.MELT_TEMP,EX2.MELT_TEMP,EX1.Z1_PV,EX1.Z2_PV,EX1.Z3_PV,EX1.Z4_PV,EX1.A1_PV,EX1.A2_PV,EX1.H1_PV,EX1.H2_PV,EX1.H3_PV,EX1.H4_PV,EX1.H2O_PV,EX1.MELT_P_PV,EX1.MD_PV,EX1.MD_TQ,passorfail
2020 10 30 00:00:04,297,222,251,267,209,219,229,239,240,239,241,240,240,40,41,0,71.2215,72,0
2020 10 30 00:00:09,297,222,251,268,210,219,229,239,240,239,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:00:14,297,222,251,267,210,219,229,239,240,239,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:00:19,297,222,251,267,210,219,229,240,240,239,241,240,240,40,41,0,71.1977,72,0
2020 10 30 00:00:24,297,222,251,267,210,219,229,239,240,239,241,240,240,40,41,0,71.1977,72,0
2020 10 30 00:00:29,297,222,251,267,210,219,229,239,240,239,241,240,240,40,41,0,71.2096,72,0
2020 10 30 00:00:34,297,222,251,267,210,219,230,239,240,239,240,240,240,40,41,0,71.162,72,0
2020 10 30 00:00:39,297,222,251,267,211,219,229,239,240,239,241,240,240,40,41,0,71.1739,72,0
2020 10 30 00:00:44,297,222,251,267,211,219,229,239,240,239,241,240,240,40,41,0,71.2096,72,0
2020 10 30 00:00:49,297,222,251,267,211,219,230,239,240,240,241,240,240,40,41,0,71.1739,72,0
2020 10 30 00:00:54,297,222,251,267,211,219,230,239,240,240,241,240,240,40,41,0,71.2215,72,0
2020 10 30 00:00:59,297,222,251,267,211,219,230,239,240,240,241,240,240,40,41,0,71.162,72,0
2020 10 30 00:01:04,297,222,251,267,212,219,229,239,240,240,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:01:09,297,222,251,267,212,220,230,239,240,240,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:01:14,297,222,251,267,212,220,230,239,240,240,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:01:19,297,222,251,267,212,220,230,239,240,240,240,240,240,40,41,0,71.1739,72,0
2020 10 30 00:01:24,297,222,251,267,212,219,229,239,240,240,241,240,240,40,41,0,71.2096,72,0
2020 10 30 00:01:29,297,222,251,267,212,219,229,239,240,240,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:01:34,297,222,251,267,212,220,230,239,240,240,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:01:39,297,222,251,267,212,220,230,239,240,240,240,240,240,40,41,0,71.2215,72,0
2020 10 30 00:01:44,297,222,251,267,212,220,230,239,240,240,240,240,240,40,41,0,71.1858,72,0
2020 10 30 00:01:49,297,222,251,267,212,220,230,239,240,240,240,240,240,40,41,0,71.2215,72,0
2020 10 30 00:01:54,297,222,251,267,211,220,229,239,240,240,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:01:59,297,222,251,267,211,220,229,239,240,240,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:02:04,297,222,251,267,211,220,229,239,240,240,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:02:09,297,222,251,267,211,220,229,239,240,240,240,240,240,40,41,0,71.2215,72,0
2020 10 30 00:02:14,297,222,251,267,211,220,229,239,240,240,240,240,240,40,41,0,71.1858,72,0
2020 10 30 00:02:19,297,222,251,267,211,220,229,239,240,240,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:02:24,297,222,251,267,211,220,229,239,240,240,240,240,240,40,41,0,71.1739,72,0
2020 10 30 00:02:29,297,222,251,267,210,220,230,239,240,240,240,240,240,40,41,0,71.2215,72,0
2020 10 30 00:02:34,297,222,251,267,210,220,229,239,240,240,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:02:39,297,222,251,267,210,220,229,239,240,240,240,240,240,40,41,0,71.1858,72,0
2020 10 30 00:02:44,297,222,251,267,210,220,229,239,240,240,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:02:49,297,222,251,267,210,219,230,239,240,240,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:02:54,297,222,251,267,210,219,230,239,240,240,240,240,240,40,41,0,71.2215,72,0
2020 10 30 00:02:59,297,222,251,267,209,219,229,240,240,240,240,240,239,40,41,0,71.1858,72,0
2020 10 30 00:03:04,297,222,251,267,209,219,229,240,240,240,240,240,239,40,41,0,71.1739,72,0
2020 10 30 00:03:09,297,222,251,267,209,219,230,239,240,240,240,240,239,40,41,0,71.1977,72,0
2020 10 30 00:03:14,297,222,251,268,209,219,230,239,240,239,240,240,239,40,41,0,71.1977,72,0
2020 10 30 00:03:19,297,222,251,267,209,219,229,240,240,240,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:03:24,297,222,251,267,209,219,229,240,240,239,240,240,239,40,41,0,71.1977,72,0
2020 10 30 00:03:29,297,222,251,267,209,219,229,239,240,239,240,240,239,40,41,0,71.1977,72,0
2020 10 30 00:03:34,297,222,251,267,209,219,229,240,240,239,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:03:39,297,222,251,267,209,219,229,239,240,239,240,240,239,40,41,0,71.2215,72,0
2020 10 30 00:03:44,297,222,251,267,209,219,229,240,240,239,240,240,239,40,41,0,71.2215,72,0
2020 10 30 00:03:49,297,222,251,267,209,219,229,239,240,239,240,240,239,40,41,0,71.1739,72,0
2020 10 30 00:03:54,297,222,251,267,209,219,230,239,240,239,240,240,239,40,41,0,71.1977,72,0
2020 10 30 00:03:59,297,222,251,267,208,219,230,240,240,239,240,240,240,40,41,0,71.1739,72,0
2020 10 30 00:04:04,297,222,251,267,209,219,229,240,240,239,240,240,239,40,41,0,71.1977,72,0
2020 10 30 00:04:09,297,222,251,267,209,219,229,239,240,239,240,240,239,40,41,0,71.1977,72,0
2020 10 30 00:04:14,297,222,251,267,208,219,229,239,240,239,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:04:19,297,221,251,267,209,219,230,240,240,239,240,240,239,40,41,0,71.1977,72,0
2020 10 30 00:04:24,297,222,251,267,209,219,230,240,240,239,240,240,239,40,41,0,71.1858,72,0
2020 10 30 00:04:29,297,222,251,267,209,219,230,239,240,239,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:04:34,297,222,251,267,209,219,229,240,240,239,240,240,239,40,41,0,71.1739,72,0
2020 10 30 00:04:39,297,222,251,267,209,219,230,240,240,239,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:04:44,297,222,251,267,209,219,230,240,240,239,240,240,240,40,41,0,71.162,72,0
2020 10 30 00:04:49,297,222,251,267,209,219,230,240,240,239,240,240,240,40,41,0,71.1858,72,0
2020 10 30 00:04:54,297,222,251,267,209,219,230,240,240,239,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:04:59,297,222,251,267,209,219,230,239,240,239,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:05:04,297,221,251,267,209,219,230,240,240,239,240,240,240,40,41,0,71.1858,72,0
2020 10 30 00:05:09,297,222,251,267,209,220,230,240,240,239,240,240,240,40,41,0,71.2215,72,0
2020 10 30 00:05:14,297,222,251,267,210,220,230,239,240,240,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:05:19,297,222,251,267,210,220,230,240,240,240,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:05:24,297,222,251,267,210,219,230,239,240,240,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:05:29,297,222,251,267,210,219,229,239,240,240,240,240,240,40,41,0,71.1858,72,0
2020 10 30 00:05:34,297,222,251,267,210,219,230,240,240,240,240,240,240,40,41,0,71.1858,72,0
2020 10 30 00:05:39,297,222,251,267,209,220,230,240,240,240,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:05:44,297,222,251,267,209,220,230,239,240,240,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:05:49,297,222,251,267,209,220,230,240,240,239,240,240,240,40,41,0,71.2215,72,0
2020 10 30 00:05:54,297,222,251,267,209,220,229,240,240,240,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:05:59,297,222,251,267,209,220,230,239,240,239,240,240,240,40,41,0,71.1739,72,0
2020 10 30 00:06:04,297,222,251,267,209,220,230,239,240,239,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:06:09,297,222,251,267,209,220,230,239,240,240,240,240,240,40,41,0,71.1739,72,0
2020 10 30 00:06:14,297,222,251,267,209,220,229,240,240,239,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:06:19,297,221,251,267,209,219,230,240,240,239,240,240,240,40,41,0,71.2215,72,0
2020 10 30 00:06:24,297,222,251,267,209,219,230,239,240,239,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:06:29,297,222,251,267,209,219,230,239,240,239,240,240,240,40,41,0,71.2215,72,0
2020 10 30 00:06:34,297,222,251,267,209,219,230,240,240,239,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:06:39,297,221,251,267,209,219,230,239,240,239,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:06:44,297,222,251,267,209,219,230,239,240,239,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:06:49,297,221,251,267,209,219,229,239,240,239,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:06:54,297,222,251,267,209,219,229,239,240,239,240,240,240,40,41,0,71.1739,72,0
2020 10 30 00:06:59,297,221,251,267,209,219,229,239,240,239,240,240,240,40,41,0,71.1858,72,0
2020 10 30 00:07:04,297,222,251,267,209,220,229,239,240,239,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:07:09,297,221,251,267,209,220,229,239,240,239,240,240,240,40,41,0,71.2215,72,0
2020 10 30 00:07:14,297,222,251,267,209,219,230,239,240,239,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:07:19,297,222,251,267,210,219,230,239,240,239,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:07:24,297,222,251,267,210,220,229,239,240,239,240,240,240,40,41,0,71.1858,72,0
2020 10 30 00:07:29,297,221,251,267,210,220,230,239,240,239,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:07:34,297,222,251,267,210,220,230,239,240,239,240,240,240,40,41,0,71.1739,72,0
2020 10 30 00:07:39,297,221,251,267,209,220,230,239,240,239,240,240,240,40,41,0,71.1977,72,0
